"auto_id","hisco_45_id","hisco_3_id","hisco_2_id","hisco_1_id","label","description","country_code","preferred"
"35038","10","1","1","0","Chemist, General","Conducts chemical experiments, tests and analyses to investigate chemical phenomena, to test, develop or improve materials and products and to control or develop industrial processes.","","0"
"35039","20","1","1","0","Organic Chemist","Conducts chemical experiments, tests and analyses on substances of which main element is carbon, to investigate chemical phenomena, to test, develop or improve materials and products or to control or develop industrial processes.","","0"
"35040","30","1","1","0","Inorganic Chemist","Conducts chemical experiments, tests and analyses on substances free or relatively free of carbon to investigate chemical phenomena, to test, develop or improve materials and products, or to control or develop industrial processes.","","0"
"35041","40","1","1","0","Physical Chemist","Conducts research into relationships between chemical and physical properties of substances to increase knowledge of physical aspects of chemical phenomena or to develop or improve materials, products or industrial processes.","","0"
"35042","50","1","1","0","Analytical Chemist","Carries out chemical tests and analyses of substances and develops and improves analytical methodology and techniques.","","0"
"35043","90","1","1","0","Other Chemists","This group includes chemists not elsewhere classified, for example those who specialise in the development and technical control of the manufacture of pharmaceutical products. Pharmacologist is classified in 0-52.70 and Pharmacist in 0-67.10.","","0"
"35044","10","2","1","0","Physicist, General","Conducts research into physical phenomena to increase scientific knowledge and to develop and improve materials, products and industrial and other processes.","","0"
"35045","20","2","1","0","Mechanics Physicist","Conducts research in the field of mechanics to investigate physical phenomena or to develop or improve materials, products or industrial and other processes.","","0"
"35046","30","2","1","0","Heat Physicist","Conducts research into nature and effects of heat to increase scientific knowledge or to develop or improve materials, products or industrial and other processes.","","0"
"35047","40","2","1","0","Light Physicist","Conducts research into nature and effects of light to increase scientific knowledge or to develop or improve materials, products or industrial and other processes.","","0"
"35048","50","2","1","0","Sound Physicist","Conducts research into nature and effects of sound to increase scientific knowledge or to develop or improve materials, products or industrial and other processes.","","0"
"35049","60","2","1","0","Electricity and Magnetism Physicist","Conducts research into nature and properties of electricity and magnetism to increase scientific knowledge or to develop or improve materials, products or industrial and other processes.","","0"
"35050","70","2","1","0","Electronics Physicist","Conducts research into nature and behaviour of electrons to increase scientific knowledge or to develop or improve materials, products or industrial or other processes.","","0"
"35051","80","2","1","0","Nuclear Physicist","Conducts research into structure and characteristics of atoms, molecules and nuclei to increase scientific knowledge or to discover practical applications of atomic, molecular and nuclear physics.","","0"
"35052","90","2","1","0","Other Physicists","This group includes physicists not elsewhere classified, for example those who conduct research into structure and properties of matter in solid state; or specialise in pure research and formulate theories based on analysis of established data to explain relationships between observed physical phenomena and to explain previously unobserved phenomena, or predict results of experiments designed to detect and measure them.","","0"
"35053","20","3","1","0","Geophysical Scientist","Conducts research into physical nature of earth, including its atmosphere and hydrosphere, to increase scientific knowledge and to develop practical applications in such fields as radio communications, water conservation, volcanology and mineral exploration.","","0"
"35054","30","3","1","0","Geological Scientist","Conducts research into nature and history of earth's crust to increase scientific knowledge and to develop practical applications in such fields as mineral exploitation and civil engineering.","","0"
"35055","40","3","1","0","Meteorological Scientist","Conducts research into physical nature and properties of the earth's atmosphere and the forces affecting it to increase scientific knowledge and to develop practical applications such as weather forecasts.","","0"
"35056","50","3","1","0","Astronomical Scientist","Observes and interprets celestial phenomena to increase scientific knowledge and to develop practical applications in such fields as navigation and space exploration.","","0"
"35057","90","3","1","0","Other Physical Scientists","This group includes other physical scientists not elsewhere classified, for example those who specialise in examining, analysing and classifying minerals (including gems and precious stones) or advising on the likely commercial yield from mineral deposits containing gems and precious stones.","","0"
"35058","0","4","1","0","Physical Science Technician, Specialisation Unknown","May perform any (but not all) of the occupational activities described in unit group 0-14.","","0"
"35059","20","4","1","0","Chemistry Technician","Performs auxiliary technical tasks, normally under direction and supervision of chemist, in connection with pure research into chemical phenomena or applied chemical research and development work.","","0"
"35060","30","4","1","0","Physics Technician","Performs auxiliary technical tasks, normally under direction of physicist, in connection with pure research into physical phenomena or applied physics research and development work.","","0"
"35061","90","4","1","0","Other Physical Science Technicians","This group includes physical science technicians not elsewhere classified, for example those who perform auxiliary technical tasks in connection with research and development work conducted by geological, geophysical meteorological and astronomic scientists.","","0"
"35062","0","0","2","0","Engineers, Specialisation Unknown","May perform any (but not all) of the occupational activities listed in unit groups 0-22 to 0-29.","","0"
"35063","20","1","2","0","Building Architect","Designs buildings and exercises general supervision over their construction. Building construction engineer is classified in 0-22.20.","","0"
"35064","30","1","2","0","Town Planner","Plans layout and co-ordinates development of urban areas.","","0"
"35065","40","1","2","0","Landscape Architect","Plans and designs aesthetic layout of land areas for such projects as parks and other recreational facilities, roads, commercial, industrial and residential sites and public buildings.","","0"
"35066","10","2","2","0","Civil Engineer, General","Carries out research, designs and advises on structures such as bridges, dams, docks, roads, airports, railways, waste disposal and flood control systems and industrial and other large buildings, and plans, organises and supervises their construction, maintenance and repair.","","0"
"35067","20","2","2","0","Building Construction Engineer","Designs structures of large buildings and plans, organises and supervises their erection, maintenance and repair.","","0"
