"occupation_id","label","english_translation","country_code","lang_code","preferred","hisco_id","status_id","relation_id","product_id","comtxt","provenance","link_id"
7722,"Accoucheuse","obstetrician (fem.)","BEL","FR",0,7310,0,0,0,"","LNP",1
7723,"Agricultrice","agriculturist (fem.)","BEL","FR",0,61110,0,0,0,"","LNP",2
7724,"Ardoisière","slate quarry worker","BEL","FR",0,71110,0,0,0,"95320","LNP",3
7725,"Ardoisière","slate quarry worker","BEL","FR",0,95320,0,0,0,"71110","LNP",4
7726,"Artisane","artisan (fem.)","BEL","FR",0,-1,24,0,0,"","LNP",5
7727,"Aubergiste","inn keeper (fem.)","BEL","FR",0,51020,0,0,0,"","LNP",6
7728,"Balayeuse","sweeper (fem.)","BEL","FR",0,99910,0,0,0,"","LNP",7
7729,"Blanchisseuse","female bleacher","BEL","FR",0,56010,0,0,0,"75615","LNP",8
7730,"Blanchisseuse","female bleacher","BEL","FR",0,75615,0,0,0,"56010","LNP",9
7731,"Bobineuse","bobbin-worker (fem.)","BEL","FR",0,85345,0,0,0,"75250","LNP",10
7732,"Bobineuse","bobbin-worker (fem.)","BEL","FR",0,75250,0,0,0,"85345","LNP",11
7733,"Bonnetière","dealer in woven and knitted goods (fem.)","BEL","FR",0,75500,0,0,0,"","LNP",12
7734,"Boucher","butcher","BEL","FR",0,77310,0,0,0,"","LNP",13
7735,"Bouchère","butcher's woman","BEL","FR",0,77310,0,0,0,"","LNP",14
7736,"Boudineuse de coton","female cotton press worker","BEL","FR",0,75240,0,0,0,"","LNP",15
7737,"Boulangère","baker (fem.)","BEL","FR",0,77620,0,0,0,"","LNP",16
7738,"Boutiquière","grocer (fem.)","BEL","FR",0,41030,0,0,20,"","LNP",17
7739,"Boutonnière","button-maker (fem.)","BEL","FR",0,94990,0,0,0,"","LNP",18
7740,"Brandevinière","brandy maker (fem.)","BEL","FR",0,74490,0,0,0,"","LNP",19
7741,"Brodeuse","embrodery worker","BEL","FR",0,79565,0,0,0,"","LNP",20
7742,"Buandière","washerwoman","BEL","FR",0,56010,0,0,0,"","LNP",21
7743,"Cabaretière","","BEL","FR",0,51050,0,0,0,"","LNP",22
7744,"Cafetière","café proprietor (vr.)","BEL","FR",0,51050,0,0,0,"","LNP",23
7745,"Cantinière","canteen proprietor","BEL","FR",0,51090,0,0,0,"","LNP",24
7746,"Cardeuse (de laine/lin)","female card worker (wool and flax)","BEL","FR",0,75135,0,0,0,"","LNP",25
7747,"Cardeuse de laine","","BEL","FR",0,75135,0,0,0,"","LNP",26
7748,"Cardeuse de lin","","BEL","FR",0,75135,0,0,0,"","LNP",27
7749,"Casquetière","cap maker (fem.)","BEL","FR",0,79390,0,0,0,"","LNP",28
7750,"Chanteuse","singer (fem.)","BEL","FR",0,17145,0,0,0,"","LNP",29
7751,"Charbonnière","coal dealer (fem.)","BEL","FR",0,41025,0,0,11,"","LNP",30
7752,"Charcutière","pork-butcher's woman","BEL","FR",0,77390,0,0,0,"","LNP",31
7753,"Charpentière","carpenter (fem.)","BEL","FR",0,95410,0,0,0,"","LNP",32
7754,"Charretière","coachman","BEL","FR",0,98620,0,0,0,"","LNP",33
7755,"Chemisière","shirt-chemise-maker (fem.)","BEL","FR",0,79190,0,0,0,"","LNP",34
7756,"Chimiste","chemist (fem.)","BEL","FR",0,1110,0,0,0,"","LNP",35
7757,"Cigarière","cigar maker (fem.)","BEL","FR",0,78200,0,0,0,"","LNP",36
7758,"Coiffeuse","hair dresser (fem.)","BEL","FR",0,57025,0,0,0,"","LNP",37
7759,"Colporteuse","hawker (fem.)","BEL","FR",0,45220,0,0,0,"","LNP",38
7760,"Colporteuse ambulant","itinerant hawker (fem.)","BEL","FR",0,45220,0,0,0,"","LNP",39
7761,"Colporteuse de poisson","fish hawker (fem.)","BEL","FR",0,45220,0,0,21,"","LNP",40
