napptitle,nappcode,nappcodenum,hiscocode,hiscocodenum,nappeqhisco,check,comments
Physical science assistants and technicians,01400,1400,0-14.00,1400,1,0,
"Professional engineers, specialisation unknown",02000,2000,0-20.00,2000,1,0,
Industrial machinery or tools engineers,02420,2420,0-24.20,2420,1,0,
"Mechanical engineer (motors and engines, except marine)",02430,2430,0-24.30,2430,1,0,
Marine engineers,02440,2440,0-24.40,2440,1,0,
Ship construction engineers,02450,2450,0-24.50,2450,1,0,
Other mechanical engineers,02490,2490,0-24.90,2490,1,0,
"Surveyors, general and nfs",03010,3010,0-30.10,3010,1,0,
Land surveyors,03020,3020,0-30.20,3020,1,0,
Mine surveyors,03030,3030,0-30.30,3030,1,0,
Hydrographic surveyors,03040,3040,0-30.40,3040,1,0,
Other surveyors,03090,3090,0-30.90,3090,1,0,
Other ships' deck officers and pilots,04290,4290,0-42.90,4290,1,0,
Ships' engineers,04300,4300,0-43.00,4300,1,0,
Life sciences technicians,05400,5400,0-54.00,5400,1,0,
"Medical doctors, nec",06190,6190,0-61.90,6190,1,0,
Trained nurses,07110,7110,0-71.10,7110,1,0,
Osteopaths,07920,7920,0-79.20,7920,1,0,
Chiropractors,07930,7930,0-79.30,7930,1,0,
Sanitarians,07940,7940,0-79.40,7940,1,0,
"Other Medical, Dental, Veterinary and Related Workers",07990,7990,0-79.90,7990,1,0,
Accountants,11010,11010,1-10.10,11010,1,0,
Auditors,11020,11020,1-10.20,11020,1,0,
Accountants nec,11090,11090,1-10.90,11090,1,0,
Lawyers,12110,12110,1-21.10,12110,1,0,
Teachers in higher education,13100,13100,1-31.00,13100,1,0,
Other teaching personnel,13990,13990,1-39.90,13990,1,0,
Ministers of religion,14120,14120,1-41.20,14120,1,0,
Missionaries,14130,14130,1-41.30,14130,1,0,
Members of religious orders,14140,14140,1-41.40,14140,1,0,
Sculptors,16120,16120,1-61.20,16120,1,0,
Artistic Painters,16130,16130,1-61.30,16130,1,0,
Cartoonists,16140,16140,1-61.40,16140,1,0,
Engravers and etchers (artistic),16150,16150,1-61.50,16150,1,0,
Other specified creative artists,16190,16190,1-61.90,16190,1,0,
Designers,16200,16200,1-62.00,16200,1,0,
Others in music,17190,17190,1-71.90,17190,1,0,
Social workers,19300,19300,1-93.00,19300,1,0,
Patent Agents,19920,19920,1-99.20,19920,1,0,
"Other professional, technical and related workers nec",19990,19990,1-99.90,19990,1,0,
"Proprietors, nfs",21110,21110,2-11.10,21110,1,0,
Tax collectors,31020,31020,3-10.20,31020,1,0,
Tax assessors,31030,31030,3-10.30,31030,1,0,
Customs officers,31040,31040,3-10.40,31040,1,0,
"Government functionaries, nec",31090,31090,3-10.90,31090,1,0,
Cash desk cashier,33160,33160,3-31.60,33160,1,0,
Railway guards (UK) and Railroad Conductors (US/CAN),36020,36020,3-60.20,36020,1,0,
Sleeping- or pullman-car attendants,36030,36030,3-60.30,36030,1,0,
"Bus, tram or streetcar conductors",36040,36040,3-60.40,36040,1,0,
"Transport conductors, nec",36090,36090,3-60.90,36090,1,0,
Mail carriers [aka Postmen (UK)],37030,37030,3-70.30,37030,1,0,
Messengers,37040,37040,3-70.40,37040,1,0,
Telephone operator,38020,38020,3-80.20,38020,1,0,
Other telephone/telegraph operators,38090,38090,3-80.90,38090,1,0,
"Office clerks, specialisation unknown",39310,39310,3-93.10,39310,1,0,
Correspondence clerks,39320,39320,3-93.20,39320,1,0,
Legal clerks,39340,39340,3-93.40,39340,1,0,
Insurance clerks,39350,39350,3-93.50,39350,1,0,
Other correspondence and reporting clerks,39390,39390,3-93.90,39390,1,0,
Insurance salesmen and agents,44120,44120,4-41.20,44120,1,0,
Real estate agents,44130,44130,4-41.30,44130,1,0,
Brokers,44140,44140,4-41.40,44140,1,0,
Auctioneers,44320,44320,4-43.20,44320,1,0,
Appraisers,44330,44330,4-43.30,44330,1,0,
Fashion models,45140,45140,4-51.40,45140,1,0,
"Other sales personnel men, shop assistants and demonstrators",45190,45190,4-51.90,45190,1,0,
"Street sellers, pedlars and hawkers, non-food items",45220,45220,4-52.20,45220,1,0,
Newsvendors,45240,45240,4-52.40,45240,1,0,
Other street traders [for coffee and food?],45290,45290,4-52.90,45290,1,0,
Pawnbrokers,49020,49020,4-90.20,49020,1,0,
Dealers and salesworkers nec,49090,49090,4-90.90,49090,1,0,
Hotel keepers and managers,51020,51020,5-10.20,51020,1,0,
Restaurant keepers and managers,51030,51030,5-10.30,51030,1,0,
Other hospitality and entertainment keepers and managers,51090,51090,5-10.90,51090,1,0,
Cooks,53100,53100,5-31.00,53100,1,0,
Other food and drink service workers,53290,53290,5-32.90,53290,1,0,
House servants nfs and maids,54020,54020,5-40.20,54020,1,0,
Personal servants and valets,54030,54030,5-40.30,54030,1,0,
Other specified servants,54090,54090,5-40.90,54090,1,0,
Window cleaners,55230,55230,5-52.30,55230,1,0,
Chimney sweeps,55240,55240,5-52.40,55240,1,0,
"Other charworkers, cleaners and related workers",55290,55290,5-52.90,55290,1,0,
Barbers,57030,57030,5-70.30,57030,1,0,
"Other barbers, hairdressers and related workers",57090,57090,5-70.90,57090,1,0,
"Policemen and detectives, public service",58220,58220,5-82.20,58220,1,0,
Guides,59100,59100,5-91.00,59100,1,0,
Bookmakers (sport),59920,59920,5-99.20,59920,1,0,
Croupiers,59930,59930,5-99.30,59930,1,0,
Nursing aids and attendents,59940,59940,5-99.40,59940,1,0,
Other Service Workers nec,59990,59990,5-99.90,59990,1,0,
General farmers and farmers nfs,61110,61110,6-11.10,61110,1,0,
Husbandmen or cottars,61115,61115,6-11.15,61115,1,0,
Field crop farmers,61220,61220,6-12.20,61220,1,0,
Other specialised farmers,61290,61290,6-12.90,61290,1,0,
Sheep workers,62430,62430,6-24.30,62430,1,0,
Pig workers,62440,62440,6-24.40,62440,1,0,
Fur-bearing animal workers,62450,62450,6-24.50,62450,1,0,
Horse workers,62460,62460,6-24.60,62460,1,0,
Market garden labourers,62720,62720,6-27.20,62720,1,0,
Nursery labourers,62730,62730,6-27.30,62730,1,0,
Other nursery workers and gardeners,62790,62790,6-27.90,62790,1,0,
Others in agricultural or husbandry,62990,62990,6-29.90,62990,1,0,
"Woodsmen and workers in the woods, nfs",63110,63110,6-31.10,63110,1,0,
Others in logging and wood cutting,63190,63190,6-31.90,63190,1,0,
Foresters and wood wardens,63220,63220,6-32.20,63220,1,0,
Forestry workers,63230,63230,6-32.30,63230,1,0,
Timber cruisers,63240,63240,6-32.40,63240,1,0,
Forest fire-fighters,63250,63250,6-32.50,63250,1,0,
Other forestry workers,63290,63290,6-32.90,63290,1,0,
Fishermen,64100,64100,6-41.00,64100,1,0,
Fish farm workers,64920,64920,6-49.20,64920,1,0,
Oyster farm workers,64930,64930,6-49.30,64930,1,0,
Whale hunters,64940,64940,6-49.40,64940,1,0,
"Other fishermen, hunters and related workers",64990,64990,6-49.90,64990,1,0,
Others working in mines and quarries,71190,71190,7-11.90,71190,1,0,
Mineral or stone treaters,71200,71200,7-12.00,71200,1,0,
"Well drillers, borers and related workers",71300,71300,7-13.00,71300,1,0,
"Metal workers, specialisation unknown",72000,72000,7-20.00,72000,1,0,
Metal smelter and furnacemen,72100,72100,7-21.00,72100,1,0,
Metal rollers,72200,72200,7-22.00,72200,1,0,
Metal moulders and coremakers,72500,72500,7-25.00,72500,1,0,
Wood treaters,73100,73100,7-31.00,73100,1,0,
Sawyers and other titled wood/sawmill operatives,73200,73200,7-32.00,73200,1,0,
Oil mill workers,74500,74500,7-45.00,74500,1,0,
Specified chemical workers nec,74990,74990,7-49.90,74990,1,0,
"Textile workers, specialisation unknown",75000,75000,7-50.00,75000,1,0,
Fibre preparers,75100,75100,7-51.00,75100,1,0,
"Spinners, doublers, twisters and winders",75200,75200,7-52.00,75200,1,0,
Weavers,75400,75400,7-54.00,75400,1,0,
Knitters,75500,75500,7-55.00,75500,1,0,
"Bleachers, dyer or textile product finisher",75600,75600,7-56.00,75600,1,0,
Other specialised textile workers nec,75990,75990,7-59.90,75990,1,0,
Other specified leather curers,76190,76190,7-61.90,76190,1,0,
Sugar refiners,77200,77200,7-72.00,77200,1,0,
Butchers,77310,77310,7-73.10,77310,1,0,
Other workers in meat preparation,77390,77390,7-73.90,77390,1,0,
Chocolate makers,77650,77650,7-76.50,77650,1,0,
Other baked goods makers,77690,77690,7-76.90,77690,1,0,
Maltsters,77830,77830,7-78.30,77830,1,0,
Other drinks makers and workers,77890,77890,7-78.90,77890,1,0,
Other food and beverage processors,77990,77990,7-79.90,77990,1,0,
Tobacco preparers and tobacco factory workers,78100,78100,7-81.00,78100,1,0,
Cigar makers,78200,78200,7-82.00,78200,1,0,
Other garment makers,79190,79190,7-91.90,79190,1,0,
Milliners,79320,79320,7-93.20,79320,1,0,
Others hand sewers,79590,79590,7-95.90,79590,1,0,
Upholsterers (except vehicle),79620,79620,7-96.20,79620,1,0,
Vehicle trimmers and upholsterers,79630,79630,7-96.30,79630,1,0,
Mattress makers,79640,79640,7-96.40,79640,1,0,
Others working in upholstery jobs,79690,79690,7-96.90,79690,1,0,
"Sail, tent and awning makers",79920,79920,7-99.20,79920,1,0,
Umbrella makers,79930,79930,7-99.30,79930,1,0,
Other cloth and related product manufacturing workers,79990,79990,7-99.90,79990,1,0,
Specialised occupations in the boot and shoe making industry,80200,80200,8-02.00,80200,1,0,
Saddlers and harness makers,80320,80320,8-03.20,80320,1,0,
Other leather goods makers,80390,80390,8-03.90,80390,1,0,
Cabinet makers,81120,81120,8-11.20,81120,1,0,
Other furniture makers,81190,81190,8-11.90,81190,1,0,
Wood turners and handle makers,81230,81230,8-12.30,81230,1,0,
Other woodworking machine operators,81290,81290,8-12.90,81290,1,0,
Other makers of wooden products,81990,81990,8-19.90,81990,1,0,
"Other blacksmiths, hammermen and forgeing-press operators",83190,83190,8-31.90,83190,1,0,
Tool makers nfs,83210,83210,8-32.10,83210,1,0,
